fecha,user_id,recommend
2011-11-05,76561197970982479,1
2011-07-15,76561197970982479,1
2011-04-21,76561197970982479,1
2014-06-24,js41637,1
2013-09-08,js41637,1
2013-11-29,js41637,1
2014-02-03,evcentric,1
2015-12-04,evcentric,1
2014-11-03,evcentric,1
2014-10-15,evcentric,1
2014-10-15,evcentric,1
2014-10-15,evcentric,1
2013-10-14,doctr,1
2012-07-28,doctr,1
2012-06-02,doctr,1
2014-06-29,doctr,1
2012-11-22,doctr,1
2012-02-23,doctr,1
2014-04-15,maplemage,1
2013-12-23,maplemage,1
2014-03-14,maplemage,1
2013-07-11,maplemage,1
2014-05-05,Wackky,1
2012-12-24,Wackky,1
2012-10-21,Wackky,1
2012-03-20,Wackky,1
2012-03-09,Wackky,1
2014-05-20,76561198079601835,1
2014-07-24,MeaTCompany,1
2015-02-01,76561198089393905,1
2014-06-20,76561198089393905,1
2014-06-16,76561198156664158,1
2014-06-11,76561198077246154,1
2014-08-25,76561198077246154,1
2013-12-25,WeiEDKrSat,1
2012-06-23,thequeenpanda,1
2015-09-05,death-hunter,1
2015-03-30,death-hunter,1
2014-02-19,death-hunter,1
2014-07-14,DJKamBer,1
2013-04-27,DJKamBer,1
2015-07-20,DJKamBer,1
2013-11-04,DJKamBer,1
2013-07-12,DJKamBer,1
2012-08-19,DJKamBer,1
2015-06-19,Rainbow-Dashie,1
2014-09-20,Rainbow-Dashie,1
2014-09-07,Rainbow-Dashie,1
2014-12-19,76561198043472122,0
2015-02-17,MarbleShrine,1
2014-06-07,PPanther,1
2014-02-12,devvonst,1
2014-02-09,devvonst,1
2015-10-31,devvonst,1
2014-02-27,Fr0stedLine,1
2015-02-04,starkillershadow553,1
2014-08-23,starkillershadow553,1
2014-04-05,starkillershadow553,1
2015-01-08,76561198058373434,1
2015-10-26,76561198048353577,1
2014-05-16,76561198048353577,1
2013-03-20,76561198048353577,1
2015-12-28,76561198066046412,0
2015-05-19,76561198066046412,1
2015-12-15,tru_mu_,1
2014-03-31,76561198070565427,1
2015-08-21,76561198070565427,1
2014-10-17,76561198070565427,1
2014-06-27,76561198070565427,0
2014-04-28,76561198070565427,1
2015-11-12,SavageEeEe,1
2014-06-18,76561198076909484,1
2014-11-20,KanadeTheNeko,1
2014-05-29,KanadeTheNeko,1
2014-07-09,Leaf_Light_Moscow,1
2014-12-29,GoAwayZach,1
2015-02-13,76561198054540475,1
2014-12-26,76561198054540475,1
2014-02-04,76561198054540475,1
2014-06-16,76561198085547365,1
2014-06-16,76561198085547365,1
2015-05-21,76561198061252210,1
2013-12-06,OfficialShroomsy,1
2014-05-12,boydeer,1
2015-08-24,boydeer,0
2015-01-06,VVillis,1
2015-12-22,76561198083226897,1
2015-06-23,76561198075277292,1
2015-09-11,76561198075277292,1
2013-04-22,76561198028895010,1
2012-05-27,76561198028895010,1
2014-01-18,76561198170198366,1
2014-07-30,diego9031,1
2014-07-28,diego9031,1
2015-12-05,diego9031,1
2015-10-04,diego9031,1
2015-10-03,diego9031,1
2015-08-13,diego9031,1
2015-02-22,diego9031,1
2015-01-14,diego9031,1
2013-12-14,diego9031,1
2013-12-01,diego9031,1
2012-02-11,jarrodtrim,1
2014-02-20,76561198078738103,1
2015-03-12,76561198067936203,1
2015-10-14,76561198079770573,1
